timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-05T14:21:49,iris-prediction,4ed57b13-733d-414b-974f-091f11a28f61,0.5048093795776367,7.743059387528516e-07,1.5338580661886609e-06,22.5,0.0,2.910233974456787,3.1544595956802366e-06,0.0,4.068448663928356e-07,3.561304462073072e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:24:01,iris-prediction,9ebfd4e4-15a9-4427-a3d1-95a3230be273,0.503767728805542,7.726526218443394e-07,1.5337477525135178e-06,22.5,0.0,2.910233974456787,3.147724270820617e-06,0.0,4.059760071840894e-07,3.553700278004707e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:24:07,iris-prediction,8855a210-6675-4c64-82c7-4cfa37671bda,0.5042228698730469,7.734423380066825e-07,1.5339295066116689e-06,22.5,0.0,2.910233974456787,3.1508177518844605e-06,0.0,4.065147076029992e-07,3.55733245948746e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:25:19,iris-prediction,5d6cbd08-fb1f-42cb-94f1-817f73c5596b,0.5015072822570801,7.692270727575179e-07,1.5338303150764631e-06,22.5,0.0,2.910233974456787,3.133691847324371e-06,0.0,4.042531295294794e-07,3.5379449768538504e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:25:26,iris-prediction,cdbff371-52fa-4bc1-99c4-d7a0b3630ad1,0.5009806156158447,7.684411205783724e-07,1.5338739596416206e-06,22.5,0.0,2.910233974456787,3.1305328011512752e-06,0.0,4.037973060980941e-07,3.5343301072493693e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:31:30,iris-prediction,6a399dcb-6e0c-4175-b536-019566c34798,0.4985899925231933,7.647690490219472e-07,1.533863616378886e-06,22.5,0.0,2.910233974456787,3.115490078926086e-06,0.0,4.0195088391091844e-07,3.517440962837004e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-05T14:31:36,iris-prediction,1e339a70-0aa8-42f7-bdcd-e28336969159,0.5031313896179199,7.717222059283738e-07,1.5338383210684248e-06,22.5,0.0,2.910233974456787,3.143957257270813e-06,0.0,4.054637117588793e-07,3.5494209690296923e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.0,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.760623931884766,machine,N,1.0
2024-08-06T12:27:57,iris-prediction,92bd4190-341b-4f51-9a4e-0667f3237e30,0.0249007209986302,3.4348799306310365e-08,1.3794299092062352e-06,22.5,0.0,2.9102325439453125,1.4363091249833817e-07,0.0,1.4351257228324122e-08,1.5798216972666228e-07,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-06T14:07:56,iris-prediction,7a6935c1-18ee-4d7d-b916-d4c5b95969e5,0.0107268440006009,1.5276911319710974e-08,1.4241757705113524e-06,22.5,0.0,2.9102325439453125,6.399980625246827e-08,0.0,6.264064559643549e-09,7.026387081211182e-08,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-06T14:50:08,iris-prediction,257cc8f3-c7eb-4c40-84ed-3fde7fd10aac,0.0087124140009109,1.2974177250746157e-08,1.4891598642339104e-06,22.5,0.0,2.9102325439453125,5.3855643750466696e-08,0.0,5.817145805080369e-09,5.967278955554707e-08,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-06T14:50:14,iris-prediction,3bdcc5db-9afe-45e0-bac2-84659a384f91,0.0030791119970672,4.325900620457598e-09,1.4049182441489302e-06,22.5,0.0,2.9102325439453125,1.860999373093364e-08,0.0,1.2863397608822711e-09,1.9896333491815912e-08,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:03:14,iris-prediction,185007ef-b6c6-4e1f-b6be-6f05011e32e7,0.5092886449999696,7.809653444907965e-07,1.5334434650331603e-06,22.5,0.0,2.9102325439453125,3.1821381687507253e-06,0.0,4.097952349103418e-07,3.591933403661067e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:03:21,iris-prediction,7eb637f4-e797-4815-b123-3e0a448df985,0.5206580180001765,7.986346418110233e-07,1.5338948296206831e-06,22.5,0.0,2.9102325439453125,3.2535295687509345e-06,0.0,4.196711276414419e-07,3.673200696392376e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:07:43,iris-prediction,866f57c8-6ff5-4fd7-8291-ed8177ec59d7,0.5020519140000488,7.700771747960778e-07,1.5338596533983197e-06,22.5,0.0,2.9102325439453125,3.13723108749997e-06,0.0,4.046238066509336e-07,3.541854894150904e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:07:49,iris-prediction,6e6c061b-74b7-4bed-997c-df6ae8ae6c35,0.5040804370000842,7.731997610858261e-07,1.5338817068310407e-06,22.5,0.0,2.9102325439453125,3.149930524999433e-06,0.0,4.06286238188405e-07,3.556216763187838e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:10:45,iris-prediction,06f99572-ca87-4ab5-a07e-90c5b6a3f031,0.5083304610000141,7.795350630246274e-07,1.533520264536352e-06,22.5,0.0,2.9102325439453125,3.1759535249989307e-06,0.0,4.0940151278302053e-07,3.585355037781951e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:10:51,iris-prediction,8997947d-44b0-4dfc-be20-0b071ad7dff4,0.505887328999961,7.759195801172576e-07,1.5337794319756867e-06,22.5,0.0,2.9102325439453125,3.161171437498922e-06,0.0,4.075547269060488e-07,3.5687261644049705e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:13:42,iris-prediction,5497a533-9292-44c7-b924-453c6db3e224,0.5036269039999297,7.724975815129844e-07,1.5338687734464086e-06,22.5,0.0,2.9102325439453125,3.1470672562491587e-06,0.0,4.059199369188942e-07,3.5529871931680527e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:13:48,iris-prediction,3d14535e-ca64-4052-b7b6-176e7f9f4b59,0.500751623000042,7.680146099095957e-07,1.5337236558682731e-06,22.5,0.0,2.9102325439453125,3.1288209812501574e-06,0.0,4.035474539109381e-07,3.532368435161096e-06,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:31:18,iris-prediction,5007f16c-8ca1-45e1-b416-85c9c786b43e,0.0042774869998538,6.144670691703491e-09,1.4365141710339313e-06,22.5,0.0,2.9102325439453125,2.6146612501065653e-08,0.0,2.1148821577245822e-09,2.8261494658790234e-08,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
2024-08-07T10:31:23,iris-prediction,604631b3-2b78-407b-a0f8-d8ba741c3802,0.0031320349999077735,4.3707628011201154e-09,1.3955025410791442e-06,22.5,0.0,2.9102325439453125,1.8875206248480935e-08,0.0,1.2274641396127958e-09,2.010267038809373e-08,Spain,ESP,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,2.5.1,4,AMD Ryzen 5 5600H with Radeon Graphics,1,1 x NVIDIA GeForce RTX 3050 Laptop GPU,-3.684,40.4172,7.7606201171875,machine,N,1.0
